loss,params,iteration,estimators,train_time
0.1108838916299042,"{'bagging_fraction': 1.0, 'bagging_freq': 8, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.7581210157263232, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.5550715698132521, 'lambda_l2': 0.4180548647363336, 'learning_rate': 0.05744034168192386, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 25, 'min_gain_to_split': 0.6616293907483979, 'min_sum_hessian_in_leaf': 0.002206516306153266, 'num_leaves': 72, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 180000, 'subsample': 0.5913297637854001}",2,604,281.8302291780001
0.11240918590078586,"{'bagging_fraction': 1.0, 'bagging_freq': 5, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.8671405297775581, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.28305603350310604, 'lambda_l2': 0.5402132002093698, 'learning_rate': 0.06139680871109074, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 15, 'min_gain_to_split': 0.018474269499450746, 'min_sum_hessian_in_leaf': 0.0018768389594337707, 'num_leaves': 108, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 140000, 'subsample': 0.6135509808734627}",3,690,324.4396101709999
0.10672045048687173,"{'bagging_fraction': 1.0, 'bagging_freq': 9, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.9580264110404553, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.6751743376547853, 'lambda_l2': 0.871200180552101, 'learning_rate': 0.05716466557430287, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 415, 'min_gain_to_split': 0.5610043097388399, 'min_sum_hessian_in_leaf': 0.004239554619432612, 'num_leaves': 13, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 240000, 'subsample': 0.6185579862361744}",4,1197,174.55368014000032
0.10693745209961869,"{'bagging_fraction': 1.0, 'bagging_freq': 2, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.7796299460163597, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.8380462737317426, 'lambda_l2': 0.3852432916832277, 'learning_rate': 0.018234129535304927, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 170, 'min_gain_to_split': 0.5935003857057105, 'min_sum_hessian_in_leaf': 0.0001658976129020469, 'num_leaves': 83, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 40000, 'subsample': 0.5100030816999047}",5,2362,903.641749811
0.10560181766288812,"{'bagging_fraction': 1.0, 'bagging_freq': 3, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.6286515564760164, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.13551375459009007, 'lambda_l2': 0.37033705337348155, 'learning_rate': 0.01676402169903042, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 500, 'min_gain_to_split': 0.45344915524593365, 'min_sum_hessian_in_leaf': 0.001111673936232036, 'num_leaves': 55, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 280000, 'subsample': 0.9682554623839528}",6,2436,558.6275071800001
0.11011489957495457,"{'bagging_fraction': 1.0, 'bagging_freq': 5, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.6072727096783374, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.37314696822583515, 'lambda_l2': 0.1612260462560876, 'learning_rate': 0.016556821462865374, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 195, 'min_gain_to_split': 0.5218530838557489, 'min_sum_hessian_in_leaf': 0.04319622308393114, 'num_leaves': 185, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 60000, 'subsample': 0.6621331302174968}",7,2540,893.8800596740002
0.11722137206093519,"{'bagging_fraction': 1.0, 'bagging_freq': 7, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.6791862461468375, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.49381280928846094, 'lambda_l2': 0.5124302784127993, 'learning_rate': 0.12430177522456871, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 255, 'min_gain_to_split': 0.9589460269628991, 'min_sum_hessian_in_leaf': 0.12353265731239427, 'num_leaves': 118, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 60000, 'subsample': 0.7309409405873684}",8,546,142.43179715899987
0.11218760576465692,"{'bagging_fraction': 1.0, 'bagging_freq': 3, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.6968484020631897, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.09404410767278615, 'lambda_l2': 0.711006950649427, 'learning_rate': 0.11951112162502407, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 310, 'min_gain_to_split': 0.969105453263276, 'min_sum_hessian_in_leaf': 0.11934592948681035, 'num_leaves': 35, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 280000, 'subsample': 0.674736960843694}",9,373,84.09137203800037
0.113700456873984,"{'bagging_fraction': 1.0, 'bagging_freq': 3, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.6216808454292716, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.6176115035406968, 'lambda_l2': 0.054420464734055374, 'learning_rate': 0.08081854409192693, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 115, 'min_gain_to_split': 0.6892156552306281, 'min_sum_hessian_in_leaf': 0.03811937808091911, 'num_leaves': 147, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 40000, 'subsample': 0.595978294045461}",10,826,215.8206576900002
0.1102496466686067,"{'bagging_fraction': 1.0, 'bagging_freq': 2, 'bagging_seed': 1337, 'boost_from_average': False, 'boosting_type': 'gbdt', 'data_random_seed': 1337, 'drop_seed': 1337, 'feature_fraction': 0.8887625758561828, 'feature_fraction_seed': 1337, 'is_unbalance': True, 'lambda_l1': 0.8915347407156448, 'lambda_l2': 0.18557648028742357, 'learning_rate': 0.02303819985109043, 'max_bin': 120, 'max_depth': 14, 'min_child_samples': 290, 'min_gain_to_split': 0.9845275229045023, 'min_sum_hessian_in_leaf': 0.0321430038125729, 'num_leaves': 198, 'objective': 'binary', 'save_binary': True, 'seed': 1337, 'subsample_for_bin': 180000, 'subsample': 0.5487090262505339}",11,2375,804.4609083380001
