,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_solver,params
72,0.8646532706694801,0.8647414497255621,0.8471296170244363,0.8595296034108278,0.8549945700265467,0.849342215181649,0.8626191740362751,0.8505102096100827,0.8539192178437143,0.8650955327247762,0.8572533886814454,0.006580853854770337,1,0.6453277111053467,0.055726922651611714,0.0035037755966186523,0.0007802264262358038,9.98595351344599,liblinear,"{'C': 9.98595351344599, 'solver': 'liblinear'}"
73,0.86465520442071,0.8647402894748242,0.8471311640254202,0.8595299901610737,0.8549968905280223,0.8493426019318948,0.8626199480193,0.8505109835931077,0.8539211528012768,0.8650951457332637,0.8572542397345856,0.006580428242825271,1,1.6099458456039428,0.03475196150367696,0.003300046920776367,0.00046179106438347194,9.924751452556324,saga,"{'C': 9.924751452556324, 'solver': 'saga'}"
74,0.8658448481773235,0.8661318168598356,0.8472765821179062,0.8609435623101056,0.8563257643731861,0.8488699931313157,0.8631222630025278,0.8518492002433402,0.854598774939668,0.8664496160270212,0.8581411346768204,0.006959411206771443,1,0.9106453657150269,0.050496655229714894,0.0019863367080688475,0.0017819639671202774,1e-06,sag,"{'C': 1e-06, 'solver': 'sag'}"
75,0.8646532706694802,0.864741836475808,0.8471303905249283,0.8595284431600898,0.8549937965260546,0.8493453091836167,0.8626226569598876,0.8505098226185703,0.8539192178437142,0.8650970806908264,0.857254085063623,0.006580901460597103,1,3.6413576364517213,0.10488174778118022,0.0035663843154907227,0.0022703229550937575,9.972703549422466,sag,"{'C': 9.972703549422466, 'solver': 'sag'}"
76,0.8658448481773234,0.8661314301095895,0.847278515869136,0.8609424020593678,0.8563257643731862,0.8488684461303317,0.8631195540619402,0.8518488132518278,0.8545980009566431,0.8664438111543338,0.8581400513390548,0.006958412090306154,1,1.1567609071731568,0.022160458612212337,0.0034972667694091798,0.0015784255558394693,1.0043332777837917e-06,saga,"{'C': 1.0043332777837917e-06, 'solver': 'saga'}"
77,0.8658394336738797,0.8661198276022104,0.8472773556183983,0.8609431755598598,0.8563238306219563,0.8488672858795938,0.8631168451213528,0.8518488132518278,0.854601870871768,0.8664414892052587,0.8581378852319811,0.006956230097239192,1,0.29392499923706056,0.017124103698606407,0.0038956165313720702,0.0020897379351285873,1.0003373336922722e-06,liblinear,"{'C': 1.0003373336922722e-06, 'solver': 'liblinear'}"
78,0.8658448481773234,0.8661314301095897,0.8472773556183981,0.8609443358105975,0.85632731137417,0.8488688328805777,0.8631222630025278,0.8518488132518278,0.854599548922693,0.8664496160270214,0.858141328088093,0.006959387035552944,1,0.9105168581008911,0.04966686518383335,0.004276466369628906,0.0014337650643155603,1.0112181269410244e-06,sag,"{'C': 1.0112181269410244e-06, 'solver': 'sag'}"
79,0.8646532706694801,0.8647414497255621,0.8471296170244363,0.8595296034108278,0.8549945700265467,0.849342215181649,0.8626191740362751,0.8505102096100827,0.8539192178437143,0.8650955327247762,0.8572533886814454,0.006580853854770337,1,0.6100560903549195,0.05344186546214047,0.003191065788269043,0.00039931788306207957,9.928836803917948,liblinear,"{'C': 9.928836803917948, 'solver': 'liblinear'}"
80,0.8658448481773234,0.8661310433593435,0.84727812911889,0.8609424020593678,0.856326924623924,0.8488680593800857,0.8631199410534528,0.8518488132518278,0.8545980009566431,0.8664441981458462,0.8581401287229156,0.00695852320229715,1,1.1386759996414184,0.03384015527092423,0.003194737434387207,0.0008689451631607481,1e-06,saga,"{'C': 1e-06, 'solver': 'saga'}"
81,0.86465520442071,0.8647402894748242,0.8471311640254202,0.8595299901610737,0.8549968905280223,0.8493426019318948,0.8626199480193,0.8505109835931077,0.8539211528012768,0.8650951457332637,0.8572542397345856,0.006580428242825271,1,1.6173342704772948,0.04466934407287642,0.003029060363769531,0.0018392133736195588,9.981028997638083,saga,"{'C': 9.981028997638083, 'solver': 'saga'}"
82,0.8658448481773235,0.8661318168598356,0.8472765821179062,0.8609435623101056,0.8563257643731861,0.8488699931313157,0.8631222630025278,0.8518492002433402,0.854598774939668,0.8664496160270212,0.8581411346768204,0.006959411206771443,1,0.9470238208770752,0.06546643853361173,0.0031038761138916016,0.0023145199779841426,1e-06,sag,"{'C': 1e-06, 'solver': 'sag'}"
83,0.8658398204241259,0.8661182806012264,0.8472773556183981,0.8609400815578919,0.8563249908726942,0.8488672858795939,0.8631172321128653,0.8518495872348528,0.854600322905718,0.8664407152222338,0.8581374597175059,0.006955884471141894,1,0.3126849174499512,0.02665533674626652,0.0035009860992431642,0.0012304157160974683,1.0157567773864034e-06,liblinear,"{'C': 1.0157567773864034e-06, 'solver': 'liblinear'}"
84,0.8646532706694802,0.864741836475808,0.8471303905249283,0.8595284431600898,0.8549937965260546,0.8493453091836167,0.8626226569598876,0.8505098226185703,0.8539192178437142,0.8650970806908264,0.857254085063623,0.006580901460597103,1,3.6404625177383423,0.12951705097854962,0.0040606498718261715,0.001971632219129237,9.892839549650269,sag,"{'C': 9.892839549650269, 'solver': 'sag'}"
85,0.8646532706694801,0.8647414497255621,0.8471296170244363,0.8595296034108278,0.8549945700265467,0.849342215181649,0.8626191740362751,0.8505102096100827,0.8539192178437143,0.8650955327247762,0.8572533886814454,0.006580853854770337,1,0.6149430274963379,0.05025978918898059,0.002992081642150879,0.0011797252447748967,9.943302096003011,liblinear,"{'C': 9.943302096003011, 'solver': 'liblinear'}"
86,0.8658448481773234,0.8661310433593435,0.84727812911889,0.8609424020593678,0.856326924623924,0.8488680593800857,0.8631199410534528,0.8518488132518278,0.8545980009566431,0.8664441981458462,0.8581401287229156,0.00695852320229715,1,1.18974928855896,0.06991710469288122,0.002994203567504883,0.0010969851808277432,1e-06,saga,"{'C': 1e-06, 'solver': 'saga'}"
87,0.86465520442071,0.8647402894748242,0.8471311640254202,0.8595299901610737,0.8549968905280223,0.8493426019318948,0.8626199480193,0.8505109835931077,0.8539211528012768,0.8650951457332637,0.8572542397345856,0.006580428242825271,1,1.5996282339096068,0.031178617442895573,0.0030693769454956054,0.0008478779701419492,9.966932765145854,saga,"{'C': 9.966932765145854, 'solver': 'saga'}"
