,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_gamma,param_max_delta_step,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params
0,0.8666965218689356,0.8646564163805543,0.8498283325869532,0.8666218838632632,0.8781475832062214,0.8749811529376288,0.8949590390511133,0.8527918781725888,0.8906116499974871,0.8557822787354878,0.8694947166481367,0.01445757182257737,1,23.409168577194215,4.217398494065618,0.0197124719619751,0.005531307465504859,0.18273244758535206,0.7530295101748936,0.2941753333970994,19,7,2,0.1186916389388348,0.03835472993899774,0.23326565231989196,0.6601228271348841,"{'colsample_bylevel': 0.18273244758535206, 'colsample_bytree': 0.7530295101748936, 'gamma': 0.2941753333970994, 'max_delta_step': 19, 'max_depth': 7, 'min_child_weight': 2, 'reg_alpha': 0.1186916389388348, 'reg_lambda': 0.03835472993899774, 'scale_pos_weight': 0.23326565231989196, 'subsample': 0.6601228271348841}"
1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,8.207671093940736,1.9218217717114272,0.02226526737213135,0.015083012486093183,0.9683778260444021,0.559584163572638,0.19880354967418387,9,6,12,0.01099977409394022,103.4912536823033,1.6657655502056877e-05,0.9329145653699569,"{'colsample_bylevel': 0.9683778260444021, 'colsample_bytree': 0.559584163572638, 'gamma': 0.19880354967418387, 'max_delta_step': 9, 'max_depth': 6, 'min_child_weight': 12, 'reg_alpha': 0.01099977409394022, 'reg_lambda': 103.4912536823033, 'scale_pos_weight': 1.6657655502056877e-05, 'subsample': 0.9329145653699569}"
2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,5.607963633537293,1.146919007184025,0.019559502601623535,0.013177890576411937,0.32977035443621655,0.5558147814323374,0.02219584775349879,13,7,5,0.04492536985504463,261.1490434904028,0.0009732477090338705,0.6818145905559118,"{'colsample_bylevel': 0.32977035443621655, 'colsample_bytree': 0.5558147814323374, 'gamma': 0.02219584775349879, 'max_delta_step': 13, 'max_depth': 7, 'min_child_weight': 5, 'reg_alpha': 0.04492536985504463, 'reg_lambda': 261.1490434904028, 'scale_pos_weight': 0.0009732477090338705, 'subsample': 0.6818145905559118}"
3,0.8562223217395631,0.8577648405234612,0.8668955565507288,0.8560979250634423,0.8678202595584008,0.850253807106599,0.8793536714077499,0.841383123083882,0.8804091069005378,0.8487209127004071,0.8604914903417322,0.012238682081924097,1,45.9711829662323,8.018694107306603,0.024729299545288085,0.01700786619755845,0.684890708829741,0.6858047953450256,0.027680960381780695,13,6,10,0.01923380793882639,0.010955838182986706,1.9523218202778543,0.7691732515803242,"{'colsample_bylevel': 0.684890708829741, 'colsample_bytree': 0.6858047953450256, 'gamma': 0.027680960381780695, 'max_delta_step': 13, 'max_depth': 6, 'min_child_weight': 10, 'reg_alpha': 0.01923380793882639, 'reg_lambda': 0.010955838182986706, 'scale_pos_weight': 1.9523218202778543, 'subsample': 0.7691732515803242}"
4,0.8431606707468777,0.8349753694581281,0.8498532119221774,0.8295267950440364,0.851666624990623,0.834522792380761,0.861612303362316,0.8114539880383977,0.8791526360757903,0.814796200432226,0.8410713216072556,0.019594993159679497,1,23.095946049690248,5.041190618330892,0.022415876388549805,0.0035160606204882555,0.28150111507871806,0.44558226111279997,0.134599679035547,15,8,16,0.5169873552406311,1.5672893197936137,453.9585095790419,0.5030717583795193,"{'colsample_bylevel': 0.28150111507871806, 'colsample_bytree': 0.44558226111279997, 'gamma': 0.134599679035547, 'max_delta_step': 15, 'max_depth': 8, 'min_child_weight': 16, 'reg_alpha': 0.5169873552406311, 'reg_lambda': 1.5672893197936137, 'scale_pos_weight': 453.9585095790419, 'subsample': 0.5030717583795193}"
5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,4.712316942214966,1.0261132466507452,0.01855027675628662,0.013942662854599715,0.2060894610541997,0.9644973625875616,0.013736561355070882,8,8,13,0.018159638471300997,31.862654787487863,0.003130655095861094,0.5940093337950031,"{'colsample_bylevel': 0.2060894610541997, 'colsample_bytree': 0.9644973625875616, 'gamma': 0.013736561355070882, 'max_delta_step': 8, 'max_depth': 8, 'min_child_weight': 13, 'reg_alpha': 0.018159638471300997, 'reg_lambda': 31.862654787487863, 'scale_pos_weight': 0.003130655095861094, 'subsample': 0.5940093337950031}"
6,0.8343036274070758,0.8297755883962781,0.8185052495397322,0.8209683037269244,0.8500412592833388,0.8229381313765893,0.8414836407498618,0.8049957279991957,0.8641252450118109,0.8144695180177918,0.8301570535407238,0.016858597803097983,1,15.356283068656921,2.8050696092026173,0.012069153785705566,0.001653262344960336,0.729604656282827,0.4306910549138994,0.012698560389099847,10,7,10,0.01793726648822341,0.10033936097872106,0.5709408847225171,0.2236659858651649,"{'colsample_bylevel': 0.729604656282827, 'colsample_bytree': 0.4306910549138994, 'gamma': 0.012698560389099847, 'max_delta_step': 10, 'max_depth': 7, 'min_child_weight': 10, 'reg_alpha': 0.01793726648822341, 'reg_lambda': 0.10033936097872106, 'scale_pos_weight': 0.5709408847225171, 'subsample': 0.2236659858651649}"
7,0.8432601880877744,0.8536597502114743,0.8607006020799124,0.8224113051699259,0.8648195844064913,0.8663617630798612,0.8408051465044982,0.8411820877519225,0.8672161632406895,0.8443735236467809,0.8504716526214197,0.013823292985672957,1,6.930623245239258,1.2156395461648646,0.012995672225952149,0.0022746700926547943,0.06500410966004398,0.5263348072706933,0.012755847566890226,1,7,16,0.4516588946765572,696.7776550831821,0.4275692908974528,0.5692827900114068,"{'colsample_bylevel': 0.06500410966004398, 'colsample_bytree': 0.5263348072706933, 'gamma': 0.012755847566890226, 'max_delta_step': 1, 'max_depth': 7, 'min_child_weight': 16, 'reg_alpha': 0.4516588946765572, 'reg_lambda': 696.7776550831821, 'scale_pos_weight': 0.4275692908974528, 'subsample': 0.5692827900114068}"
8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,3.780406379699707,0.7101911748905066,0.011434173583984375,0.009149679810442055,0.21117283577113885,0.536624028316195,0.2667051543105763,9,7,15,0.7355700152382846,0.010952205888633887,0.00026282123913719447,0.891263068894316,"{'colsample_bylevel': 0.21117283577113885, 'colsample_bytree': 0.536624028316195, 'gamma': 0.2667051543105763, 'max_delta_step': 9, 'max_depth': 7, 'min_child_weight': 15, 'reg_alpha': 0.7355700152382846, 'reg_lambda': 0.010952205888633887, 'scale_pos_weight': 0.00026282123913719447, 'subsample': 0.891263068894316}"
9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,5.3471990585327145,1.1033768555708259,0.014450359344482421,0.011324244634231906,0.9921239177787613,0.30489044791299197,0.10114786970945643,13,7,15,0.02721957224846382,0.023154729911194577,8.386886506220147e-05,0.4981749095989113,"{'colsample_bylevel': 0.9921239177787613, 'colsample_bytree': 0.30489044791299197, 'gamma': 0.10114786970945643, 'max_delta_step': 13, 'max_depth': 7, 'min_child_weight': 15, 'reg_alpha': 0.02721957224846382, 'reg_lambda': 0.023154729911194577, 'scale_pos_weight': 8.386886506220147e-05, 'subsample': 0.4981749095989113}"
