,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_gamma,param_max_bin,param_max_delta_step,param_max_depth,param_min_child_samples,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,param_subsample_for_bin,param_subsample_freq,params
0,0.5,0.5,0.7461404797662681,0.5,0.7533706605664873,0.5998991212675691,0.12237546710898092,1,42.46008167266846,9.362472868284938,0.3708050727844238,0.42832805059502965,0.18273244758535206,0.7530295101748936,0.2941753333970994,975,7,4,27,11,0.029394738173342497,3.9521013253427832,29.069100513684432,0.023611001936572194,207802,7,"{'colsample_bylevel': 0.18273244758535206, 'colsample_bytree': 0.7530295101748936, 'gamma': 0.2941753333970994, 'max_bin': 975, 'max_delta_step': 7, 'max_depth': 4, 'min_child_samples': 27, 'min_child_weight': 11, 'reg_alpha': 0.029394738173342497, 'reg_lambda': 3.9521013253427832, 'scale_pos_weight': 29.069100513684432, 'subsample': 0.023611001936572194, 'subsample_for_bin': 207802, 'subsample_freq': 7}"
1,0.5,0.8817598909333723,0.5000032884021538,0.883918049923361,0.884547005194128,0.7300384928401337,0.1878338771097012,1,204.88276076316833,118.74031188081923,5.432267379760742,4.5304300580823345,0.9683778260444021,0.559584163572638,0.19880354967418387,521,3,10,1,18,0.0003645256184213313,335.47374974190694,5.344590377857035,0.8573598985000007,357145,9,"{'colsample_bylevel': 0.9683778260444021, 'colsample_bytree': 0.559584163572638, 'gamma': 0.19880354967418387, 'max_bin': 521, 'max_delta_step': 3, 'max_depth': 10, 'min_child_samples': 1, 'min_child_weight': 18, 'reg_alpha': 0.0003645256184213313, 'reg_lambda': 335.47374974190694, 'scale_pos_weight': 5.344590377857035, 'subsample': 0.8573598985000007, 'subsample_for_bin': 357145, 'subsample_freq': 9}"
2,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,43.94545307159424,0.6877269722432241,0.015369272232055664,0.00048094857136280053,0.32977035443621655,0.5558147814323374,0.02219584775349879,697,15,6,16,19,0.002366238338992301,5.626057618867077,107.73852547354524,0.3787602835889503,122894,9,"{'colsample_bylevel': 0.32977035443621655, 'colsample_bytree': 0.5558147814323374, 'gamma': 0.02219584775349879, 'max_bin': 697, 'max_delta_step': 15, 'max_depth': 6, 'min_child_samples': 16, 'min_child_weight': 19, 'reg_alpha': 0.002366238338992301, 'reg_lambda': 5.626057618867077, 'scale_pos_weight': 107.73852547354524, 'subsample': 0.3787602835889503, 'subsample_for_bin': 122894, 'subsample_freq': 9}"
3,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,42.54158887863159,0.9087044947945978,0.015558338165283203,0.0004880132955084503,0.684890708829741,0.6858047953450256,0.027680960381780695,699,1,9,7,10,0.07808183190195106,23.32876121439766,1.577986543036058e-05,0.2291444654312473,171862,5,"{'colsample_bylevel': 0.684890708829741, 'colsample_bytree': 0.6858047953450256, 'gamma': 0.027680960381780695, 'max_bin': 699, 'max_delta_step': 1, 'max_depth': 9, 'min_child_samples': 7, 'min_child_weight': 10, 'reg_alpha': 0.07808183190195106, 'reg_lambda': 23.32876121439766, 'scale_pos_weight': 1.577986543036058e-05, 'subsample': 0.2291444654312473, 'subsample_for_bin': 171862, 'subsample_freq': 5}"
4,0.8796617907773989,0.8747691348252621,0.8702542553858224,0.877413203592328,0.8730574247865054,0.8750313058785917,0.003283340875251267,1,152.93443388938903,2.128058159064159,6.199214744567871,0.49532211782054836,0.28150111507871806,0.44558226111279997,0.134599679035547,758,18,12,43,14,0.9565520194874415,0.30645447558039884,25.66443361297534,0.3922137210014925,208621,3,"{'colsample_bylevel': 0.28150111507871806, 'colsample_bytree': 0.44558226111279997, 'gamma': 0.134599679035547, 'max_bin': 758, 'max_delta_step': 18, 'max_depth': 12, 'min_child_samples': 43, 'min_child_weight': 14, 'reg_alpha': 0.9565520194874415, 'reg_lambda': 0.30645447558039884, 'scale_pos_weight': 25.66443361297534, 'subsample': 0.3922137210014925, 'subsample_for_bin': 208621, 'subsample_freq': 3}"
5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,29.846739721298217,0.9685564697407452,0.015565252304077149,0.00048035138725745317,0.2060894610541997,0.9644973625875616,0.013736561355070882,445,18,11,6,17,0.004049290241245824,1.3469731098624163,2.0252069384274985e-06,0.0745854032108555,382944,10,"{'colsample_bylevel': 0.2060894610541997, 'colsample_bytree': 0.9644973625875616, 'gamma': 0.013736561355070882, 'max_bin': 445, 'max_delta_step': 18, 'max_depth': 11, 'min_child_samples': 6, 'min_child_weight': 17, 'reg_alpha': 0.004049290241245824, 'reg_lambda': 1.3469731098624163, 'scale_pos_weight': 2.0252069384274985e-06, 'subsample': 0.0745854032108555, 'subsample_for_bin': 382944, 'subsample_freq': 10}"
6,0.8719546318756458,0.8675730470179608,0.8627338730955316,0.8685818127374902,0.8677123205209447,0.8677112690153943,0.0029515757331868443,1,74.28366570472717,0.34156973165186716,4.462074708938599,0.40847483437256366,0.729604656282827,0.4306910549138994,0.012698560389099847,545,13,9,6,12,0.04436310688741278,0.0032416759353544114,0.035775094765493204,0.44410167522974564,317926,7,"{'colsample_bylevel': 0.729604656282827, 'colsample_bytree': 0.4306910549138994, 'gamma': 0.012698560389099847, 'max_bin': 545, 'max_delta_step': 13, 'max_depth': 9, 'min_child_samples': 6, 'min_child_weight': 12, 'reg_alpha': 0.04436310688741278, 'reg_lambda': 0.0032416759353544114, 'scale_pos_weight': 0.035775094765493204, 'subsample': 0.44410167522974564, 'subsample_for_bin': 317926, 'subsample_freq': 7}"
7,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,56.92091121673584,1.0274338853292593,0.015158367156982423,0.00039949647620932355,0.06500410966004398,0.5263348072706933,0.012755847566890226,167,15,13,41,20,0.03883962725843603,0.9005851424838706,0.004994724072426115,0.79461000056564,395111,2,"{'colsample_bylevel': 0.06500410966004398, 'colsample_bytree': 0.5263348072706933, 'gamma': 0.012755847566890226, 'max_bin': 167, 'max_delta_step': 15, 'max_depth': 13, 'min_child_samples': 41, 'min_child_weight': 20, 'reg_alpha': 0.03883962725843603, 'reg_lambda': 0.9005851424838706, 'scale_pos_weight': 0.004994724072426115, 'subsample': 0.79461000056564, 'subsample_for_bin': 395111, 'subsample_freq': 2}"
8,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,72.06099920272827,0.9824845038036496,0.015365123748779297,0.000483676757540799,0.21117283577113885,0.536624028316195,0.2667051543105763,525,8,12,47,10,0.001296042641094606,170.27583254068617,0.00041289315891137473,0.9570643210574555,401745,7,"{'colsample_bylevel': 0.21117283577113885, 'colsample_bytree': 0.536624028316195, 'gamma': 0.2667051543105763, 'max_bin': 525, 'max_delta_step': 8, 'max_depth': 12, 'min_child_samples': 47, 'min_child_weight': 10, 'reg_alpha': 0.001296042641094606, 'reg_lambda': 170.27583254068617, 'scale_pos_weight': 0.00041289315891137473, 'subsample': 0.9570643210574555, 'subsample_for_bin': 401745, 'subsample_freq': 7}"
9,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,20.789590263366698,0.5116086645209038,0.015365123748779297,0.0007950147510977859,0.9921239177787613,0.30489044791299197,0.10114786970945643,694,5,12,11,11,0.0007665118332207681,0.2829709058317781,1.0619260512470257e-05,0.060606125755654404,357517,7,"{'colsample_bylevel': 0.9921239177787613, 'colsample_bytree': 0.30489044791299197, 'gamma': 0.10114786970945643, 'max_bin': 694, 'max_delta_step': 5, 'max_depth': 12, 'min_child_samples': 11, 'min_child_weight': 11, 'reg_alpha': 0.0007665118332207681, 'reg_lambda': 0.2829709058317781, 'scale_pos_weight': 1.0619260512470257e-05, 'subsample': 0.060606125755654404, 'subsample_for_bin': 357517, 'subsample_freq': 7}"
