,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_gamma,param_max_bin,param_max_delta_step,param_max_depth,param_min_child_samples,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,param_subsample_for_bin,param_subsample_freq,params
0,0.5,0.7504254252705704,0.5,0.5,0.7330336534594035,0.5,0.5,0.5,0.7451449979799043,0.5,0.5728618474219738,0.11136808433800564,1,62.092251491546634,14.61863382123454,0.13470768928527832,0.19153016765715358,0.18273244758535206,0.7530295101748936,0.2941753333970994,975,7,4,27,11,0.029394738173342497,3.9521013253427832,29.069100513684432,0.023611001936572194,207802,7,"{'colsample_bylevel': 0.18273244758535206, 'colsample_bytree': 0.7530295101748936, 'gamma': 0.2941753333970994, 'max_bin': 975, 'max_delta_step': 7, 'max_depth': 4, 'min_child_samples': 27, 'min_child_weight': 11, 'reg_alpha': 0.029394738173342497, 'reg_lambda': 3.9521013253427832, 'scale_pos_weight': 29.069100513684432, 'subsample': 0.023611001936572194, 'subsample_for_bin': 207802, 'subsample_freq': 7}"
1,0.5,0.5,0.8799794094169044,0.5,0.5,0.5,0.5,0.49938313552907154,0.5,0.5,0.5379409927046501,0.11402083285260886,1,117.52272188663483,105.5872597294133,0.32941882610321044,0.9615896214973901,0.9683778260444021,0.559584163572638,0.19880354967418387,521,3,10,1,18,0.0003645256184213313,335.47374974190694,5.344590377857035,0.8573598985000007,357145,9,"{'colsample_bylevel': 0.9683778260444021, 'colsample_bytree': 0.559584163572638, 'gamma': 0.19880354967418387, 'max_bin': 521, 'max_delta_step': 3, 'max_depth': 10, 'min_child_samples': 1, 'min_child_weight': 18, 'reg_alpha': 0.0003645256184213313, 'reg_lambda': 335.47374974190694, 'scale_pos_weight': 5.344590377857035, 'subsample': 0.8573598985000007, 'subsample_for_bin': 357145, 'subsample_freq': 9}"
2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,59.98791444301605,5.194370805752422,0.007500481605529785,0.002907026262889537,0.32977035443621655,0.5558147814323374,0.02219584775349879,697,15,6,16,19,0.002366238338992301,5.626057618867077,107.73852547354524,0.3787602835889503,122894,9,"{'colsample_bylevel': 0.32977035443621655, 'colsample_bytree': 0.5558147814323374, 'gamma': 0.02219584775349879, 'max_bin': 697, 'max_delta_step': 15, 'max_depth': 6, 'min_child_samples': 16, 'min_child_weight': 19, 'reg_alpha': 0.002366238338992301, 'reg_lambda': 5.626057618867077, 'scale_pos_weight': 107.73852547354524, 'subsample': 0.3787602835889503, 'subsample_for_bin': 122894, 'subsample_freq': 9}"
3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,55.48236129283905,2.954432632094511,0.009520435333251953,0.0031369717736081646,0.684890708829741,0.6858047953450256,0.027680960381780695,699,1,9,7,10,0.07808183190195106,23.32876121439766,1.577986543036058e-05,0.2291444654312473,171862,5,"{'colsample_bylevel': 0.684890708829741, 'colsample_bytree': 0.6858047953450256, 'gamma': 0.027680960381780695, 'max_bin': 699, 'max_delta_step': 1, 'max_depth': 9, 'min_child_samples': 7, 'min_child_weight': 10, 'reg_alpha': 0.07808183190195106, 'reg_lambda': 23.32876121439766, 'scale_pos_weight': 1.577986543036058e-05, 'subsample': 0.2291444654312473, 'subsample_for_bin': 171862, 'subsample_freq': 5}"
4,0.8855242476934215,0.8797527737727641,0.8736386391341745,0.8791780629072479,0.8725816507119298,0.8715969845856821,0.8819524960178574,0.8707432868582327,0.8775291830299577,0.8801166082825471,0.8772613529958304,0.004668895462944623,1,196.62935829162598,7.74297483032328,3.1435544013977053,0.6026679553167881,0.28150111507871806,0.44558226111279997,0.134599679035547,758,18,12,43,14,0.9565520194874415,0.30645447558039884,25.66443361297534,0.3922137210014925,208621,3,"{'colsample_bylevel': 0.28150111507871806, 'colsample_bytree': 0.44558226111279997, 'gamma': 0.134599679035547, 'max_bin': 758, 'max_delta_step': 18, 'max_depth': 12, 'min_child_samples': 43, 'min_child_weight': 14, 'reg_alpha': 0.9565520194874415, 'reg_lambda': 0.30645447558039884, 'scale_pos_weight': 25.66443361297534, 'subsample': 0.3922137210014925, 'subsample_for_bin': 208621, 'subsample_freq': 3}"
5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,40.41113328933716,3.0827106734889282,0.008540129661560059,0.006489429027325182,0.2060894610541997,0.9644973625875616,0.013736561355070882,445,18,11,6,17,0.004049290241245824,1.3469731098624163,2.0252069384274985e-06,0.0745854032108555,382944,10,"{'colsample_bylevel': 0.2060894610541997, 'colsample_bytree': 0.9644973625875616, 'gamma': 0.013736561355070882, 'max_bin': 445, 'max_delta_step': 18, 'max_depth': 11, 'min_child_samples': 6, 'min_child_weight': 17, 'reg_alpha': 0.004049290241245824, 'reg_lambda': 1.3469731098624163, 'scale_pos_weight': 2.0252069384274985e-06, 'subsample': 0.0745854032108555, 'subsample_for_bin': 382944, 'subsample_freq': 10}"
6,0.8784668292049034,0.874509600688106,0.8638596591647433,0.8734069757368366,0.8725251851760178,0.8616087727331794,0.874596174356704,0.862436514042374,0.8672785518468009,0.8716550388616878,0.8700344598938363,0.005537143138645305,1,90.73139600753784,3.713770262935884,1.9014063596725463,0.39991284266139776,0.729604656282827,0.4306910549138994,0.012698560389099847,545,13,9,6,12,0.04436310688741278,0.0032416759353544114,0.035775094765493204,0.44410167522974564,317926,7,"{'colsample_bylevel': 0.729604656282827, 'colsample_bytree': 0.4306910549138994, 'gamma': 0.012698560389099847, 'max_bin': 545, 'max_delta_step': 13, 'max_depth': 9, 'min_child_samples': 6, 'min_child_weight': 12, 'reg_alpha': 0.04436310688741278, 'reg_lambda': 0.0032416759353544114, 'scale_pos_weight': 0.035775094765493204, 'subsample': 0.44410167522974564, 'subsample_for_bin': 317926, 'subsample_freq': 7}"
7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,60.0704448223114,0.41087277078409995,0.007080173492431641,0.006502448067792963,0.06500410966004398,0.5263348072706933,0.012755847566890226,167,15,13,41,20,0.03883962725843603,0.9005851424838706,0.004994724072426115,0.79461000056564,395111,2,"{'colsample_bylevel': 0.06500410966004398, 'colsample_bytree': 0.5263348072706933, 'gamma': 0.012755847566890226, 'max_bin': 167, 'max_delta_step': 15, 'max_depth': 13, 'min_child_samples': 41, 'min_child_weight': 20, 'reg_alpha': 0.03883962725843603, 'reg_lambda': 0.9005851424838706, 'scale_pos_weight': 0.004994724072426115, 'subsample': 0.79461000056564, 'subsample_for_bin': 395111, 'subsample_freq': 2}"
8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,80.98148462772369,1.484003514659461,0.0059201717376708984,0.006326692886705054,0.21117283577113885,0.536624028316195,0.2667051543105763,525,8,12,47,10,0.001296042641094606,170.27583254068617,0.00041289315891137473,0.9570643210574555,401745,7,"{'colsample_bylevel': 0.21117283577113885, 'colsample_bytree': 0.536624028316195, 'gamma': 0.2667051543105763, 'max_bin': 525, 'max_delta_step': 8, 'max_depth': 12, 'min_child_samples': 47, 'min_child_weight': 10, 'reg_alpha': 0.001296042641094606, 'reg_lambda': 170.27583254068617, 'scale_pos_weight': 0.00041289315891137473, 'subsample': 0.9570643210574555, 'subsample_for_bin': 401745, 'subsample_freq': 7}"
9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,30.79418044090271,3.12217416749333,0.005560183525085449,0.005081656594441992,0.9921239177787613,0.30489044791299197,0.10114786970945643,694,5,12,11,11,0.0007665118332207681,0.2829709058317781,1.0619260512470257e-05,0.060606125755654404,357517,7,"{'colsample_bylevel': 0.9921239177787613, 'colsample_bytree': 0.30489044791299197, 'gamma': 0.10114786970945643, 'max_bin': 694, 'max_delta_step': 5, 'max_depth': 12, 'min_child_samples': 11, 'min_child_weight': 11, 'reg_alpha': 0.0007665118332207681, 'reg_lambda': 0.2829709058317781, 'scale_pos_weight': 1.0619260512470257e-05, 'subsample': 0.060606125755654404, 'subsample_for_bin': 357517, 'subsample_freq': 7}"
